0,1,2,3,4,5,6,7,8,9,10
硬件工程师,数字电,模拟电路,数字滤波器,电路板设计,电子元器件选型,模电/数电基础,电路分析,usb,硬件基础知识,单片机
APP开发,数据结构,swift,c++,负责产品有强烈的责任心,英语水平,抗压性,高度额责任心,解决问题的意识,,
AI开发工程师,c++,java语言,常用算法,计算机基础,面向对象思想,机器学习,阅读英文文档,基础算子,深度神经网络模型,沟通表达理
数据挖掘工程师,python程序,java语言,机器学习建模,统计基础,统计建模,linux操作命令4,云技术,统计概率,因果分析,sas
产品管理,宏观经济,协调问题,产品投入时间,复杂仪,问题分析,交流表达,个人学习力,英语四级通,系统分析,洞察力
IT运营工程师,态度积极主动,时间节点意识,沟通表达理,,,,,,,
C++开发工程师,c++,数据结构,c1证,设计模式,tcp,python程序,gdb调试技术,代码规范,算法基础,gcc
贷后管理,办公计算机操作,电话催,sas,python程序,普通话标准,与不同人群沟通,电话销售,效沟通技巧,讲求团队精神,抗压性
财务BP,基本财务会计知识,愿奉献&semi,敢挑战,会计初级证书,组织协调力,职业道德,职业资格证书,懂得牺牲,化办公软件,自驱动力
金融分析师,商业洞察力,英语四级通,效沟通技巧,为人诚信,自信心,逻辑思考力,事业心,高度额责任心,极富团队合作精神,大量阅读英文材料
经济管理,极富团队合作精神,抗压性,,,,,,,,
财务管培生,国家会计法规,收政策,财务软件,国内会计法律法规,excel函,财务基础,财务类专业证书,财务软件系统,预决算,基本会计入账操作
电子电气工程师,嵌入式软件架构设计,接插件,电子产品研发有兴趣,新能源汽车动力,执行器,电子电路原理,处事灵活度,多传感器标,沟通表达理,发流程
汽车设计,汽车结构,catia,装配建模,工作原理,三维设计开发软件,创造性思维,设计理论,团队精神6,高度额责任心,抗压性
服装质量管理,服装的生产流程,职业道德,语言表达,爱岗敬业,高度额责任心,洞察力,,,,
产品专家,产品新功能,自驱力,团队意识,用户服务意识,进取心,善于倾听,人际交往,自驱动力,驾驶技术,行驶记
B超医生,谦虚谨慎,,,,,,,,,
CRP/Medical Physician,听说读写,,,,,,,,,
数据管理专员,临床试验经验,excel函,数据分析工具,逻辑推理,数据采集,ppt操作,分析技巧,word文档,计算机软件,洞察力
客服专员,普通话标准,海空运出口业务知识,服务意识足,服务口碑,操作流程,基金知识,各航线,电脑使用技能,基金交易业务流程,网络营销资源
商品管理,excel函,电商行业,中英文水平,数据洞察分析,资源拓展整合,创新的想法,品牌服装企业运作流程,数据分析方法,化办公软件,条理性好
汽车销售,正形象气质,亲和؜力,商务谈判,主动性,进取心,用户服务意识,高度额责任心,极富团队合作精神,爱岗敬业,
置业顾问,三观正,亲和؜力,区域楼盘情况,强烈成功欲望,业务协作关系,判断力,逻辑协调,进取心,语言表达,抗压性
