技能名称,相似技能1,相似度1,相似技能2,相似度2,相似技能3,相似度3,相似技能4,相似度4,相似技能5,相似度5,相似技能6,相似度6,相似技能7,相似度7,相似技能8,相似度8,相似技能9,相似度9,相似技能10,相似度10
设计的表达,视觉设计,2.3200000000000003,审美力,1.36,在线沟通工具,0.9,网络知识,0.9,会计核算,0.9,团队管理精神,0.9,护士执业资格证,0.9,税务管理,0.9,财务管理,0.9,illustrator,0.8
电机控制,汽车理论知识,0.8,中英文读写,0.76,pid,0.75,现代控制理论,0.75,数字电路分析,0.75,各种控制方法,0.75,车辆运动学理论,0.7200000000000001,动力学模型,0.68,非线性控制理论,0.6400000000000001,,
专业基础,敬业负责,0.85,本行业国内,0.85,关键技术,0.85,本行业理论知识,0.85,管理协调,0.85,工作知识,0.85,主流制冷剂的原理,0.8,英语阅读书写,0.8,专业性开发软件,0.8,芯片制造工艺特别是光刻工艺,0.76
懂得感恩,懂得牺牲,1.7000000000000002,商业意识,1.62,敢挑战,0.9,理解他人,0.9,正直诚信,0.9,整体掌控力,0.9,用户服务意识,0.9,智能灯具,0.8,组织协调力,0.8,社会实践经历,0.8
匹配分析,实验报告,1.0,发动机轮系,1.0,发流程,1.0,药代动力,1.0,电控件,1.0,强电工程规范,1.0,英文书写,1.0,药物研究,1.0,实验平台,1.0,,
思考分析,产品投入时间,0.8,结构力,0.76,沟通表达理,0.7200000000000001,财务核算基本流程,0.68,英语证书,0.65,英语口语,0.65,认同公司运作模式,0.6400000000000001,创新执行精神,0.6000000000000001,个人学习力,0.5599999999999999,,
创新药,职业道德,0.95,口齿清晰,0.95,文献检索,0.95,金融投资管理知识,0.95,证券基金,0.95,中英文阅读,0.95,财务资格证书,0.95,医药信息收集,0.95,医药投资,0.8,,
swot分析法,人力资源六大板块内容,0.8,offic办公软件,0.76,奢侈品,0.7200000000000001,配置方法,0.7,电商行业基本运营模式,0.7,目标敏感,0.7,逻辑思考力,0.68,亲和؜力,0.6400000000000001,组织协调力,0.6000000000000001,,
蒙皮技术,文字转化,0.8,spine,0.8,mg动画视频的制作,0.8,美术基础,0.8,接受技术新思维,0.8,各类项目脚本,0.8,基础动画运动规律2,0.76,审美力,0.7200000000000001,c4d,0.68,,
市场研究技术,数据收集分析,1.5,通信网络架构,0.8,axcure,0.8,处理客户关系,0.8,竞品分析,0.76,全面性,0.76,固网产品,0.76,医疗市场,0.75,沟通交互,0.75,产品设计,0.75
