三级目录,岗位核心能力词,,,,,,,,,,
3D设计师,3dsMAX,MAYA,Zbrush,Unity3D,美术设计功底,审美力,,,,,
Android客户端开发工程师,C++,Java,AndroidSDK,Kotlin,AndroidUI框架,数据结构,,,,,
BD经理/业务拓展员,市场思维,商务运营,商务谈判,市场开拓,,,,,,,
C工程师/C#工程师/C++开发工程师,C++STL,linux,Windows,数据结构,编程习惯,,,,,,
FPGA开发工程师,Verilog HDL,Vivado,Altera,Modesim,硬件描述语言,,,,,,
IP软件工程师,C++,Java,C语言,linux,GUI设计,数据结构,,,,,
IT软件开发工程师/IT技术研发工程师,C++,Java,html5css,python,数据结构,,,,,,
Java工程师/JAVA开发实施工程师,Java,Springboot,mybati,Mysql,springcloud,数据结构,,,,,
s,,,,,,,,,,,
UI设计师,photoshop,Skecthup,illustrator,figma,sketch,专业美术基础,色彩感觉,审美力,,,
编辑,英汉翻译,文字功底,资料检索,新闻敏感,,,,,,,
财务管理/财务核算/财务整理报告专员/财务助理/财务专员/财务主管,财务软件,基本会计准则,财税专业知识,财务管理,收法规,财务类专业证书,,,,,
采购总监/采购经理/采购主管/采购专员/采购助理/采购工程师,采购流程,谈判技巧,数据分析,沟通协调,逻辑思考,抗压性,,,,,
测试开发工程师,Java,C++,python scapy,Xshell,linux,测试流程,测试方法,数据结构,,,
产品项目管理/产品助理/产品专员/产品总监/产品VP,axcure,Visio,XMind,互联网产品,客户视角,数据分析,逻辑思考,组织协调,,,
产品运营,分析研究,市场调研,数据分析,互联网产品,知识储备,,,,,,
大数据开发工程师,Java,Hadoop Hive,spark,C++,Scala,数据结构,,,,,
电气工程师/电气设计工程师/电气设备工程师,博图软件/PLC,CSS,电气绘图软件,HMI,电气设计规范,,,,,,
电器研发工程师/电器工程师/电器工艺制程工程师,C++,Java,AutoCad,golang,linux,数据结构,英文文献,,,,
电商顾问/电商客服,网络平台规则,打字,office办公软件,跨部门问题协作解决,主动性销售,热衷网购,,,,,
